id;comuna;region
975;Port Daniel;Florida
976;New Maryfurt;Hawaii
977;Port Briana;California
978;North Lisa;Wyoming
979;Lake Danny;South Dakota
980;Edwardport;Florida
981;Ianport;New York
982;East Michael;California
983;Masonhaven;South Dakota
984;East Tannermouth;Kentucky
985;West Justinside;Tennessee
986;North Antoniotown;Utah
987;Stevenmouth;Alaska
988;Larafort;Oregon
989;Lake Mariahaven;Delaware
990;West April;Georgia
991;Thompsonbury;Idaho
992;Kimberg;Michigan
993;Wrightview;Utah
994;Sherrymouth;Hawaii
995;Robinsonland;Nebraska
996;Taraton;Alaska
997;Jacksonstad;Vermont
998;East Nicole;Tennessee
